    
   HH* 
   HH*,HN* 
   HN* 
* *  HN*,HG*,HL* 
* * * BHZ 
* * * BHZ,HHZ 
AU AS08,WTPK,MABG,WR4,WB9,WB2,WR3,AS05,WR1,WR5,AS02,WC2,CTA,WR2,WB7,AS13,AS19,WC1,AS15,YARR,WB10,AS09,AS14,WC4,AS06,WR6,AS16,WR9,AS03,AS12,WB4,MAW,FITZ,AS18,OKDL,WB1,AS17,WR8,NWAO,AS07,WR10,WR7,WB8,AS10,AS04,AS11,WB5,STKA,AS01,WC3,WB6,AS31,PHB,WB3,CATI  BH?,HH?,SH?,HN?,EH? 
GE BANI  BH?,HH? 
IM ZAB3,LPAZB,ZAA2,TOB1,YKW1,YKB6,YKW4,TOA2,ZAB5,YKB1,YKR5,MK32,ZAB2,YKB2,YKR6,ZAA1,ZAB1,YKB7,BOSAB,TOA3,ZAB4,YKR1,PLCAB,ZAA0,TOB4,YKR2,YKB3,TOB3,YKW3,TOB5,YKB9,YKB4,BATI,TOA1,ZAA3,YKR3,YKB0,YKR9,TOB2,YKW2  BH?,HH?,SH? 
NZ    
NZ   BN? 
NZ   BN?,HN? 
NZ *   
NZ ABAZ 10 EHE 
NZ ABAZ 10 EHN 
NZ ABAZ 10 EHZ 
NZ ADCS 20 HN1 
NZ ADCS 20 HN2 
NZ ADCS 20 HNZ 
NZ AKCZ 10 EHN 
NZ AKSS 20 HN1 
NZ AKSS 20 HN2 
NZ AKSS 20 HNZ 
NZ ALRZ 10 EHN 
NZ AMBC 20 HN1 
NZ AMBC 20 HN2 
NZ AMBC 20 HNZ 
NZ AMCZ 10 EHN 
NZ ANWZ 10 EHN 
NZ APPS 20 HN1 
NZ APPS 20 HN2 
NZ APPS 20 HNZ 
NZ APZ 10 HHZ 
NZ APZ,DCZ  BH?,HH? 
NZ ARAZ 10 EHN 
NZ ARCZ 10 EHN 
NZ ARHZ 10 EHN 
NZ ARPS 20 HN1 
NZ ARPS 20 HN2 
NZ ARPS 20 HNZ 
NZ ASHS 20 HN1 
NZ ASHS 20 HN2 
NZ ASHS 20 HNZ 
NZ BBCX 10 EHN 
NZ BDCS 20 HN1 
NZ BDCS 20 HN2 
NZ BDCS 20 HNZ 
NZ BENS 20 HN1 
NZ BENS 20 HN2 
NZ BENS 20 HNZ 
NZ BFZ 10 HHZ 
NZ BKZ 10 HHZ 
NZ BMTS 20 HN1 
NZ BMTS 20 HN2 
NZ BMTS 20 HNZ 
NZ BOWS 20 HN1 
NZ BOWS 20 HN2 
NZ BOWS 20 HNZ 
NZ BTWS 20 HN1 
NZ BTWS 20 HN2 
NZ BTWS 20 HNZ 
NZ BWHS 20 HN1 
NZ BWHS 20 HN2 
NZ BWHS 20 HNZ 
NZ BWRS 20 HN1 
NZ BWRS 20 HN2 
NZ BWRS 20 HNZ 
NZ CACS 20 HN1 
NZ CACS 20 HN2 
NZ CACS 20 HNZ 
NZ CAW 10 EHN 
NZ CBGS 20 HN1 
NZ CBGS 20 HN2 
NZ CBGS 20 HNZ 
NZ CCCC 20 HN1 
NZ CCCC 20 HN2 
NZ CCCC 20 HNZ 
NZ CECS 20 HN1 
NZ CECS 20 HNZ 
NZ CMHS 20 HN1 
NZ CMHS 20 HN2 
NZ CMHS 20 HNZ 
NZ CPFS 20 HN1 
NZ CPFS 20 HN2 
NZ CPFS 20 HNZ 
NZ CSHS 20 HN1 
NZ CSHS 20 HN2 
NZ CSHS 20 HNZ 
NZ CSTC 20 HN1 
NZ CSTC 20 HN2 
NZ CSTC 20 HNZ 
NZ CTZ 10 HHZ 
NZ CUBS 20 HN1 
NZ CUBS 20 HN2 
NZ CUBS 20 HNZ 
NZ CULC 20 HN1 
NZ CULC 20 HN2 
NZ CULC 20 HNZ 
NZ CVZ 10 HHZ 
NZ CVZ 20 HNE 
NZ CVZ 20 HNN 
NZ CVZ 20 HNZ 
NZ DALS 20 HN1 
NZ DALS 20 HN2 
NZ DALS 20 HNZ 
NZ DAVS 20 HN1 
NZ DAVS 20 HN2 
NZ DAVS 20 HNZ 
NZ DCDS 20 HN1 
NZ DCDS 20 HN2 
NZ DCDS 20 HNZ 
NZ DCZ 10 HHZ 
NZ DFHS 20 HN1 
NZ DFHS 20 HN2 
NZ DFHS 20 HNZ 
NZ DGNS 20 HN1 
NZ DGNS 20 HN2 
NZ DGNS 20 HNZ 
NZ DHSS 20 HN1 
NZ DHSS 20 HN2 
NZ DHSS 20 HNZ 
NZ DKHS 20 HN1 
NZ DKHS 20 HN2 
NZ DKHS 20 HNZ 
NZ DORC 20 HN1 
NZ DORC 20 HN2 
NZ DORC 20 HNZ 
NZ DSLC 20 HN1 
NZ DSLC 20 HN2 
NZ DSLC 20 HNZ 
NZ DSZ 10 HHZ 
NZ DSZ 20 HNE 
NZ DSZ 20 HNN 
NZ DSZ 20 HNZ 
NZ DUNS 20 HN1 
NZ DUNS 20 HN2 
NZ DUNS 20 HNZ 
NZ DUWZ 20 HNE 
NZ DUWZ 20 HNN 
NZ DUWZ 20 HNZ 
NZ DVHS 20 HN1 
NZ DVHS 20 HN2 
NZ DVHS 20 HNZ 
NZ EAZ 10 HHZ 
NZ EBPS 20 HN1 
NZ EBPS 20 HN2 
NZ EBPS 20 HNZ 
NZ EKTS 20 HN1 
NZ EKTS 20 HN2 
NZ EKTS 20 HNZ 
NZ ETVZ 10 HHZ 
NZ FAHS 20 HN1 
NZ FAHS 20 HN2 
NZ FAHS 20 HNZ 
NZ FAIS 20 HN1 
NZ FAIS 20 HN2 
NZ FAIS 20 HNZ 
NZ FDCS 20 HN1 
NZ FDCS 20 HN2 
NZ FDCS 20 HNZ 
NZ FGPS 20 HN1 
NZ FGPS 20 HN2 
NZ FGPS 20 HNZ 
NZ FJDS 20 HN1 
NZ FJDS 20 HN2 
NZ FJDS 20 HNZ 
NZ FOZ 10 HHZ 
NZ FWVZ 10 HHZ 
NZ FXBS 20 HN1 
NZ FXBS 20 HN2 
NZ FXBS 20 HNZ 
NZ GDLC 20 HN1 
NZ GDLC 20 HN2 
NZ GDLC 20 HNZ 
NZ GHHS 20 HN1 
NZ GHHS 20 HN2 
NZ GHHS 20 HNZ 
NZ GISS 20 HN1 
NZ GISS 20 HN2 
NZ GISS 20 HNZ 
NZ GKBS 20 HN1 
NZ GKBS 20 HN2 
NZ GKBS 20 HNZ 
NZ GLKZ 10 HHZ 
NZ GLNS 20 HN1 
NZ GLNS 20 HN2 
NZ GLNS 20 HNZ 
NZ GLWS 20 HN1 
NZ GLWS 20 HN2 
NZ GLWS 20 HNZ 
NZ GMFS 20 HN1 
NZ GMFS 20 HN2 
NZ GMFS 20 HNZ 
NZ GODS 21 HN1 
NZ GODS 21 HN2 
NZ GODS 21 HNZ 
NZ GORS 20 HN1 
NZ GORS 20 HN2 
NZ GORS 20 HNZ 
NZ GOVS 20 HN1 
NZ GOVS 20 HN2 
NZ GOVS 20 HNZ 
NZ GRZ 10 HHZ 
NZ GVZ  * 
NZ GVZ 10 HHZ 
NZ GVZ 20 HNE 
NZ GVZ 20 HNN 
NZ GVZ 20 HNZ 
NZ GWTS 20 HN1 
NZ GWTS 20 HN2 
NZ GWTS 20 HNZ 
NZ HAFS 20 HN1 
NZ HAFS 20 HN2 
NZ HAFS 20 HNZ 
NZ HATZ 10 EHN 
NZ HAVS 20 HN1 
NZ HAVS 20 HN2 
NZ HAVS 20 HNZ 
NZ HAZ 10 HHZ 
NZ HBHS 20 HN2 
NZ HBHS 20 HNZ 
NZ HCDS 20 HN1 
NZ HCDS 20 HN2 
NZ HCDS 20 HNZ 
NZ HDWS 20 HN1 
NZ HDWS 20 HN2 
NZ HDWS 20 HNZ 
NZ HHSS 20 HN1 
NZ HHSS 20 HN2 
NZ HHSS 20 HNZ 
NZ HIZ 10 HHZ 
NZ HMCS 20 HN1 
NZ HMCS 20 HN2 
NZ HMCS 20 HNZ 
NZ HNPS 20 HN1 
NZ HNPS 20 HN2 
NZ HNPS 20 HNZ 
NZ HOCS 20 HN1 
NZ HOCS 20 HN2 
NZ HOCS 20 HNZ 
NZ HPSC 20 HN1 
NZ HPSC 20 HN2 
NZ HPSC 20 HNZ 
NZ HSES 20 HN1 
NZ HSES 20 HN2 
NZ HSES 20 HNZ 
NZ HSSS 20 HN1 
NZ HSSS 20 HN2 
NZ HSSS 20 HNZ 
NZ HUKS 20 HN1 
NZ HUKS 20 HN2 
NZ HUKS 20 HNZ 
NZ HUNS 20 HN1 
NZ HUNS 20 HN2 
NZ HUNS 20 HNZ 
NZ HVSC 20 HN1 
NZ HVSC 20 HN2 
NZ HVSC 20 HNZ 
NZ HWHS 20 HN1 
NZ HWHS 20 HN2 
NZ HWHS 20 HNZ 
NZ IFPS 20 HN1 
NZ IFPS 20 HN2 
NZ IFPS 20 HNZ 
NZ INGS 20 HN1 
NZ INGS 20 HN2 
NZ INGS 20 HNZ 
NZ INHS 21 HN1 
NZ INHS 21 HN2 
NZ INHS 21 HNZ 
NZ INSS 20 HN1 
NZ INSS 20 HN2 
NZ INSS 20 HNZ 
NZ INZ 10 HHZ 
NZ INZ 20 HNE 
NZ INZ 20 HNN 
NZ INZ 20 HNZ 
NZ JCZ 10 HHZ 
NZ KAPS 20 HN1 
NZ KAPS 20 HNZ 
NZ KARS 20 HN1 
NZ KARS 20 HN2 
NZ KARS 20 HNZ 
NZ KEKS 20 HN1 
NZ KEKS 20 HN2 
NZ KEKS 20 HNZ 
NZ KHEZ 10 HHZ 
NZ KHLS 20 HN1 
NZ KHLS 20 HN2 
NZ KHLS 20 HNZ 
NZ KHZ  * 
NZ KHZ 10 HHZ 
NZ KHZ 20 HNE 
NZ KHZ 20 HNN 
NZ KHZ 20 HNZ 
NZ KIKS 20 BN1 
NZ KIKS 20 BN2 
NZ KIKS 20 BNZ 
NZ KIKS 20 HN1 
NZ KIKS 20 HN2 
NZ KIKS 20 HNZ 
NZ KILS 20 HN1 
NZ KILS 20 HN2 
NZ KILS 20 HNZ 
NZ KIRS 20 HN1 
NZ KIRS 20 HN2 
NZ KIRS 20 HNZ 
NZ KNZ 10 HHZ 
NZ KNZ 20 HNE 
NZ KNZ 20 HNN 
NZ KNZ 20 HNZ 
NZ KOKS 20 HN1 
NZ KOKS 20 HN2 
NZ KOKS 20 HNZ 
NZ KOWC 20 HN1 
NZ KOWC 20 HN2 
NZ KOWC 20 HNZ 
NZ KPOC 20 HN1 
NZ KPOC 20 HN2 
NZ KPOC 20 HNZ 
NZ KUZ 10 HHZ 
NZ KUZ 20 HNE 
NZ KUZ 20 HNN 
NZ KUZ 20 HNZ 
NZ LBZ 10 HHZ 
NZ LBZ 20 HNE 
NZ LBZ 20 HNN 
NZ LBZ 20 HNZ 
NZ LCQC 20 HN1 
NZ LCQC 20 HN2 
NZ LCQC 20 HNZ 
NZ LHUS 20 HN1 
NZ LHUS 20 HN2 
NZ LHUS 20 HNZ 
NZ LINC 20 HN1 
NZ LINC 20 HN2 
NZ LINC 20 HNZ 
NZ LIRS 20 HN1 
NZ LIRS 20 HN2 
NZ LIRS 20 HNZ 
NZ LNBS 20 HN1 
NZ LNBS 20 HN2 
NZ LNBS 20 HNZ 
NZ LPCC 20 HN1 
NZ LPCC 20 HN2 
NZ LPCC 20 HNZ 
NZ LPOC 20 HN1 
NZ LPOC 20 HN2 
NZ LPOC 20 HNZ 
NZ LRSC 20 HN1 
NZ LRSC 20 HN2 
NZ LRSC 20 HNZ 
NZ LRSS 20 HN1 
NZ LRSS 20 HN2 
NZ LRSS 20 HNZ 
NZ LSRC 20 HN1 
NZ LSRC 20 HN2 
NZ LSRC 20 HNZ 
NZ LTZ  * 
NZ LTZ 10 HHZ 
NZ LTZ 20 HNE 
NZ LTZ 20 HNN 
NZ LTZ 20 HNZ 
NZ MAVS 20 HN1 
NZ MAVS 20 HN2 
NZ MAVS 20 HNZ 
NZ MAVZ 10 HHZ 
NZ MAYC 20 HN1 
NZ MAYC 20 HN2 
NZ MAYC 20 HNZ 
NZ MCAS 20 HN1 
NZ MCAS 20 HN2 
NZ MCAS 20 HNZ 
NZ MCNS 20 HN1 
NZ MCNS 20 HN2 
NZ MCNS 20 HNZ 
NZ MECS 20 HN1 
NZ MECS 20 HN2 
NZ MECS 20 HNZ 
NZ MENS 20 HN1 
NZ MENS 20 HN2 
NZ MENS 20 HNZ 
NZ MGCS 20 HN1 
NZ MGCS 20 HN2 
NZ MGCS 20 HNZ 
NZ MISS 20 HN1 
NZ MISS 20 HN2 
NZ MISS 20 HNZ 
NZ MKAZ 10 HHZ 
NZ MKBS 20 HN1 
NZ MKBS 20 HN2 
NZ MKBS 20 HNZ 
NZ MKVS 20 HN1 
NZ MKVS 20 HN2 
NZ MKVS 20 HNZ 
NZ MLZ 10 HHZ 
NZ MLZ 20 HNE 
NZ MLZ 20 HNN 
NZ MLZ 20 HNZ 
NZ MNGS 20 HN1 
NZ MNGS 20 HN2 
NZ MNGS 20 HNZ 
NZ MNZS 20 HN1 
NZ MNZS 20 HN2 
NZ MNZS 20 HNZ 
NZ MOLS 20 HN1 
NZ MOLS 20 HN2 
NZ MOLS 20 HNZ 
NZ MORS 20 HN1 
NZ MORS 20 HN2 
NZ MORS 20 HNZ 
NZ MOSS 20 HN1 
NZ MOSS 20 HN2 
NZ MOSS 20 HNZ 
NZ MOTS 20 HN1 
NZ MOTS 20 HN2 
NZ MOTS 20 HNZ 
NZ MPSS 20 HN1 
NZ MPSS 20 HN2 
NZ MPSS 20 HNZ 
